code,name,description,refreshed_at,from_date,to_date
ALKEM,Alkem Laboratories Limited,Historical prices for Alkem Laboratories Limited<br><br>National Stock Exchange of India<br><br>Ticker: ALKEM<br><br>ISIN: INE540L01014,2018-12-10 13:38:54,2015-12-23,2018-12-10
ALKYLAMINE,Alkyl Amines Chemicals Limited,Historical prices for Alkyl Amines Chemicals Limited<br><br>National Stock Exchange of India<br><br>Ticker: ALKYLAMINE<br><br>ISIN: INE150B01021,2018-12-10 13:38:54,1998-03-20,2018-12-10
ALLCARGO,Allcargo Logistics Limited,Historical prices for Allcargo Logistics Limited<br><br>National Stock Exchange of India<br><br>Ticker: ALLCARGO<br><br>ISIN: INE418H01029,2018-12-10 13:38:54,2006-06-23,2018-12-10
ALLSEC,Allsec Technologies Limited,Historical prices for Allsec Technologies Limited<br><br>National Stock Exchange of India<br><br>Ticker: ALLSEC<br><br>ISIN: INE835G01018,2018-12-10 13:38:54,2005-05-09,2018-12-10
ALMONDZ,Almondz Global Securities Limited,Historical prices for Almondz Global Securities Limited<br><br>National Stock Exchange of India<br><br>Ticker: ALMONDZ<br><br>ISIN: INE326B01027,2018-12-10 13:38:54,2008-06-16,2018-12-10
ALOKTEXT,Alok Industries Limited,Historical prices for Alok Industries Limited<br><br>National Stock Exchange of India<br><br>Ticker: ALOKTEXT<br><br>ISIN: INE270A01011,2018-12-10 13:38:54,1998-03-20,2018-12-10
ALPA,Alpa Laboratories Limited,Historical prices for Alpa Laboratories Limited<br><br>National Stock Exchange of India<br><br>Ticker: ALPA<br><br>ISIN: INE385I01010,2018-12-10 13:38:54,2007-08-06,2018-12-10
ALPHAGEO,Alphageo (India) Limited,Historical prices for Alphageo (India) Limited<br><br>National Stock Exchange of India<br><br>Ticker: ALPHAGEO<br><br>ISIN: INE137C01018,2018-12-10 13:38:54,2007-05-11,2018-12-10
ALPINEHOU,Alpine Housing Development Corporation Limited,"Historical prices for Alpine Housing Development Corporation Limited (ALPINEHOU), (ISIN: INE840D01015),  National Stock Exchange of India.",2015-03-09 09:00:22,2011-12-30,2015-01-28
ALPSINDUS,Alps Industries Limited,Historical prices for Alps Industries Limited<br><br>National Stock Exchange of India<br><br>Ticker: ALPSINDUS<br><br>ISIN: INE093B01015,2018-12-10 13:38:54,1998-03-16,2018-12-07
ALSTOMTD,Alstom T&D India Limited,Historical prices for Alstom T&D India Limited<br><br>National Stock Exchange of India<br><br>Ticker: ALSTOMTD<br><br>ISIN: INE200A01026,2016-09-13 12:38:25,2012-03-12,2016-09-12
AMAR,Amar Remedies Limited,"Historical prices for Amar Remedies Limited (AMAR), (ISIN: INE787G01011),  National Stock Exchange of India.",2014-03-11 09:23:44,2005-09-16,2013-12-09
AMARAJABAT,Amara Raja Batteries Limited,Historical prices for Amara Raja Batteries Limited<br><br>National Stock Exchange of India<br><br>Ticker: AMARAJABAT<br><br>ISIN: INE885A01032,2018-12-10 13:38:54,1998-03-20,2018-12-10
AMARJOTHI,Amarjothi Spinning Mills Limited,"Historical prices for Amarjothi Spinning Mills Limited (AMARJOTHI), (ISIN: INE484D01012),  National Stock Exchange of India.",2015-03-09 09:09:33,2010-01-08,2015-01-29
AMBER,Amber Enterprises India Limited,Historical prices for Amber Enterprises India Limited<br><br>National Stock Exchange of India<br><br>Ticker: AMBER<br><br>ISIN: INE371P01015,2018-12-10 13:38:54,2018-01-30,2018-12-10
AMBIKCO,Ambika Cotton Mills Limited,Historical prices for Ambika Cotton Mills Limited<br><br>National Stock Exchange of India<br><br>Ticker: AMBIKCO<br><br>ISIN: INE540G01014,2018-12-10 13:38:54,2008-01-29,2018-12-10
AMBUJACEM,Ambuja Cements Limited,Historical prices for Ambuja Cements Limited<br><br>National Stock Exchange of India<br><br>Ticker: AMBUJACEM<br><br>ISIN: INE079A01024,2018-12-10 13:38:54,2007-07-24,2018-12-10
AMDIND,AMD Industries Limited,Historical prices for AMD Industries Limited<br><br>National Stock Exchange of India<br><br>Ticker: AMDIND<br><br>ISIN: INE005I01014,2018-12-10 13:38:54,2008-02-25,2018-12-10
AMJLAND,Amj Land Holdings Limited,Historical prices for Amj Land Holdings Limited<br><br>National Stock Exchange of India<br><br>Ticker: AMJLAND<br><br>ISIN: INE606A01024,2018-12-10 13:38:54,2018-01-19,2018-12-10
AMLSTEEL,AML Steel Limited,"Historical prices for AML Steel Limited (AMLSTEEL), (ISIN: INE577F01018),  National Stock Exchange of India.",2015-01-06 09:14:53,2010-01-08,2014-10-10
AMRUTANJAN,Amrutanjan Health Care Limited,Historical prices for Amrutanjan Health Care Limited<br><br>National Stock Exchange of India<br><br>Ticker: AMRUTANJAN<br><br>ISIN: INE098F01031,2018-12-10 13:38:54,2009-11-05,2018-12-10
AMTEKAUTO,Amtek Auto Limited,Historical prices for Amtek Auto Limited<br><br>National Stock Exchange of India<br><br>Ticker: AMTEKAUTO<br><br>ISIN: INE130C01021,2018-12-10 13:38:54,1998-03-20,2018-12-10
AMTEKINDIA,Amtek India Limited,"Historical prices for Amtek India Limited (AMTEKINDIA), (ISIN: INE068D01021),  National Stock Exchange of India.",2015-07-23 20:21:50,2005-06-27,2015-06-08
AMTL,Advance Metering Technology Limited,Historical prices for Advance Metering Technology Limited<br><br>National Stock Exchange of India<br><br>Ticker: AMTL<br><br>ISIN: INE436N01029,2017-04-21 13:34:43,2012-08-07,2017-04-21
ANANDAMRUB,The Anandam Rubber Company Limited,Historical prices for The Anandam Rubber Company Limited<br><br>National Stock Exchange of India<br><br>Ticker: ANANDAMRUB<br><br>ISIN: INE618N01014,2017-09-26 13:25:09,2015-12-01,2017-09-21
ANANTRAJ,Anant Raj Limited,Historical prices for Anant Raj Limited<br><br>National Stock Exchange of India<br><br>Ticker: ANANTRAJ<br><br>ISIN: INE242C01024,2018-12-10 13:38:54,2006-09-27,2018-12-10
ANDHRABANK,Andhra Bank,Historical prices for Andhra Bank<br><br>National Stock Exchange of India<br><br>Ticker: ANDHRABANK<br><br>ISIN: INE434A01013,2018-12-10 13:38:54,2001-04-04,2018-12-10
ANDHRACEMT,Andhra Cements Limited,Historical prices for Andhra Cements Limited<br><br>National Stock Exchange of India<br><br>Ticker: ANDHRACEMT<br><br>ISIN: INE666E01012,2018-12-10 13:38:54,2010-11-08,2018-12-10
ANDHRSUGAR,The Andhra Sugars Limited,Historical prices for The Andhra Sugars Limited<br><br>National Stock Exchange of India<br><br>Ticker: ANDHRSUGAR<br><br>ISIN: INE715B01013,2018-12-10 13:38:54,1998-03-20,2018-12-10
ANGIND,ANG Industries Limited,Historical prices for ANG Industries Limited<br><br>National Stock Exchange of India<br><br>Ticker: ANGIND<br><br>ISIN: INE017D01010,2018-12-10 13:38:54,2010-06-16,2018-12-10
ANIKINDS,Anik Industries Limited,Historical prices for Anik Industries Limited<br><br>National Stock Exchange of India<br><br>Ticker: ANIKINDS<br><br>ISIN: INE087B01017,2018-12-10 13:38:54,2008-05-21,2018-12-10
ANKITMETAL,Ankit Metal & Power Limited,Historical prices for Ankit Metal & Power Limited<br><br>National Stock Exchange of India<br><br>Ticker: ANKITMETAL<br><br>ISIN: INE106I01010,2018-12-10 13:38:54,2013-03-14,2018-12-10
ANKURDRUGS,Ankur Drugs And Pharma Limited,"Historical prices for Ankur Drugs And Pharma Limited (ANKURDRUGS), (ISIN: INE238D01012),  National Stock Exchange of India.",2014-03-31 18:29:30,2007-05-22,2013-09-10
ANSALAPI,Ansal Properties & Infrastructure Limited,Historical prices for Ansal Properties & Infrastructure Limited<br><br>National Stock Exchange of India<br><br>Ticker: ANSALAPI<br><br>ISIN: INE436A01026,2018-12-10 13:38:54,2010-05-14,2018-12-10
ANSALHSG,Ansal Housing and Construction Limited,Historical prices for Ansal Housing and Construction Limited<br><br>National Stock Exchange of India<br><br>Ticker: ANSALHSG<br><br>ISIN: INE880B01015,2018-12-10 13:38:54,2006-10-06,2018-12-10
ANTGRAPHIC,Antarctica Limited,Historical prices for Antarctica Limited<br><br>National Stock Exchange of India<br><br>Ticker: ANTGRAPHIC<br><br>ISIN: INE414B01021,2018-12-10 13:38:54,1998-03-20,2018-12-10
APARINDS,Apar Industries Limited,Historical prices for Apar Industries Limited<br><br>National Stock Exchange of India<br><br>Ticker: APARINDS<br><br>ISIN: INE372A01015,2018-12-10 13:38:54,2004-07-12,2018-12-10
APCL,Anjani Portland Cement Limited,Historical prices for Anjani Portland Cement Limited<br><br>National Stock Exchange of India<br><br>Ticker: APCL<br><br>ISIN: INE071F01012,2018-12-10 13:38:54,2017-04-10,2018-12-10
