"Date","Price","Open","High","Low","Vol.","Change %"
"Sep 22, 2010","305.94","307.20","310.40","303.00","7.65M","-0.07%"
"Sep 21, 2010","306.15","310.10","316.51","305.03","10.46M","-1.04%"
"Sep 20, 2010","309.37","301.00","313.40","297.64","7.15M","2.68%"
"Sep 17, 2010","301.30","297.01","302.60","296.20","6.43M","1.46%"
"Sep 16, 2010","296.96","294.00","304.60","292.43","10.07M","1.01%"
"Sep 15, 2010","294.00","285.80","295.00","285.20","8.46M","3.06%"
"Sep 14, 2010","285.26","286.10","287.40","281.12","6.03M","0.01%"
"Sep 13, 2010","285.24","277.20","286.57","277.20","6.45M","3.39%"
"Sep 09, 2010","275.88","277.00","278.38","273.46","3.87M","-0.13%"
"Sep 08, 2010","276.25","278.00","278.54","274.62","5.16M","-1.16%"
"Sep 07, 2010","279.50","279.20","281.28","275.40","4.22M","0.20%"
"Sep 06, 2010","278.93","276.80","281.10","276.64","5.06M","1.09%"
"Sep 03, 2010","275.93","280.00","280.00","273.10","3.51M","-0.61%"
"Sep 02, 2010","277.61","271.82","279.16","271.82","7.98M","2.51%"
"Sep 01, 2010","270.82","266.13","271.80","266.13","4.53M","1.76%"
"Aug 31, 2010","266.13","255.37","268.00","230.00","4.32M","0.51%"
"Aug 30, 2010","264.79","266.40","269.80","262.40","3.48M","-0.23%"
"Aug 27, 2010","265.39","273.40","276.65","263.72","4.73M","-2.99%"
"Aug 26, 2010","273.56","272.60","275.00","270.00","7.19M","0.45%"
"Aug 25, 2010","272.34","272.80","276.20","271.58","6.58M","-0.76%"
"Aug 24, 2010","274.43","275.00","277.00","271.58","5.42M","-0.66%"
"Aug 23, 2010","276.25","273.40","277.14","272.08","3.65M","1.04%"
"Aug 20, 2010","273.40","271.60","275.00","270.51","4.62M","0.25%"
"Aug 19, 2010","272.71","271.60","273.20","268.40","4.68M","0.76%"
"Aug 18, 2010","270.65","266.15","271.80","264.00","6.31M","1.69%"
"Aug 17, 2010","266.15","267.40","268.71","264.66","4.58M","-0.44%"
"Aug 16, 2010","267.32","266.10","269.34","264.72","4.98M","0.63%"
"Aug 13, 2010","265.64","264.00","267.20","264.00","4.53M","0.96%"
"Aug 12, 2010","263.12","256.00","263.97","254.97","5.98M","2.06%"
"Aug 11, 2010","257.82","258.98","260.30","255.33","6.62M","-0.45%"
"Aug 10, 2010","258.98","262.00","263.00","257.70","6.74M","-1.14%"
"Aug 09, 2010","261.96","262.86","264.36","258.80","7.86M","-0.34%"
"Aug 06, 2010","262.86","263.55","266.16","261.15","3.31M","-0.17%"
"Aug 05, 2010","263.32","266.90","268.81","262.41","6.73M","-1.11%"
"Aug 04, 2010","266.28","272.00","272.67","265.02","5.90M","-1.81%"
"Aug 03, 2010","271.20","270.15","274.32","269.06","4.95M","0.39%"
"Aug 02, 2010","270.15","270.02","272.34","268.03","4.72M","0.54%"
"Jul 30, 2010","268.69","272.00","273.40","267.40","4.66M","-1.62%"
"Jul 29, 2010","273.12","270.00","275.00","268.51","7.55M","1.16%"
"Jul 28, 2010","269.99","276.80","276.80","268.20","7.00M","-1.78%"
"Jul 27, 2010","274.89","277.40","279.19","273.60","8.13M","-0.82%"
"Jul 26, 2010","277.17","278.00","279.35","275.00","5.57M","-0.29%"
"Jul 23, 2010","277.99","273.00","279.00","273.00","12.19M","2.44%"
"Jul 22, 2010","271.36","268.05","273.56","267.00","7.46M","0.72%"
"Jul 21, 2010","269.43","274.20","275.00","267.36","5.82M","-1.59%"
"Jul 20, 2010","273.79","273.05","277.80","271.70","8.05M","0.60%"
"Jul 19, 2010","272.16","271.00","273.40","268.67","7.31M","0.27%"
"Jul 16, 2010","271.43","272.00","273.78","267.48","11.52M","0.51%"
"Jul 15, 2010","270.06","270.00","271.10","263.12","15.94M","2.73%"
"Jul 14, 2010","262.89","261.60","265.19","260.82","8.48M","1.13%"
"Jul 13, 2010","259.94","257.70","260.78","254.63","3.80M","0.88%"
"Jul 12, 2010","257.66","255.45","258.96","253.11","4.31M","1.19%"
"Jul 09, 2010","254.62","249.91","255.57","249.79","5.48M","2.54%"
"Jul 08, 2010","248.31","252.00","252.07","247.76","4.59M","0.36%"
"Jul 07, 2010","247.41","252.40","252.40","245.92","4.32M","-1.30%"
"Jul 06, 2010","250.66","248.00","251.78","247.20","4.39M","1.40%"
"Jul 05, 2010","247.19","247.22","249.00","245.09","2.10M","-0.10%"
"Jul 02, 2010","247.44","247.00","249.60","246.42","2.43M","0.29%"
"Jul 01, 2010","246.73","248.40","248.40","243.01","5.84M","-0.70%"
"Jun 30, 2010","248.48","245.00","249.19","244.42","7.15M","0.14%"
"Jun 29, 2010","248.13","251.02","251.82","246.80","5.40M","-1.69%"
"Jun 28, 2010","252.39","250.20","253.26","248.40","3.98M","1.03%"
"Jun 25, 2010","249.82","252.20","255.53","247.48","6.54M","-1.12%"
"Jun 24, 2010","252.64","248.06","253.70","248.06","9.21M","1.10%"
"Jun 23, 2010","249.88","245.06","251.30","245.06","5.38M","1.11%"
"Jun 22, 2010","247.13","248.02","251.58","246.25","4.85M","-0.93%"
"Jun 21, 2010","249.46","244.00","250.42","244.00","7.03M","2.96%"
"Jun 18, 2010","242.30","243.00","245.55","240.46","12.77M","-0.29%"
"Jun 17, 2010","243.00","244.00","244.60","238.39","11.13M","-0.46%"
"Jun 16, 2010","244.12","250.00","250.00","243.02","6.79M","-1.98%"
"Jun 15, 2010","249.05","248.82","251.30","246.04","3.31M","-0.90%"
"Jun 14, 2010","251.30","250.20","252.40","248.05","3.07M","0.86%"
"Jun 11, 2010","249.16","250.40","252.03","247.65","7.03M","-0.18%"
"Jun 10, 2010","249.60","247.93","250.00","244.05","6.82M","0.67%"
"Jun 09, 2010","247.93","244.98","250.78","244.98","7.81M","1.10%"
"Jun 08, 2010","245.24","242.88","248.52","242.88","8.41M","0.94%"
"Jun 07, 2010","242.96","243.72","245.00","239.20","7.12M","-2.46%"
"Jun 04, 2010","249.09","248.00","251.60","248.00","7.27M","0.25%"
"Jun 03, 2010","248.46","242.20","249.60","242.20","7.41M","3.43%"
"Jun 02, 2010","240.23","239.00","241.39","233.70","6.54M","1.65%"
"Jun 01, 2010","236.34","247.00","247.60","235.40","8.93M","-4.11%"
"May 31, 2010","246.47","243.16","247.60","242.02","4.66M","0.57%"
"May 28, 2010","245.07","245.00","247.60","241.16","7.75M","0.79%"
"May 27, 2010","243.16","231.40","244.40","229.43","13.51M","5.09%"
"May 26, 2010","231.38","234.00","238.40","230.01","14.31M","-0.60%"
"May 25, 2010","232.78","237.56","237.80","231.00","7.72M","-2.87%"
"May 24, 2010","239.67","243.13","248.00","238.06","5.09M","-1.42%"
"May 21, 2010","243.13","236.15","244.60","234.59","8.82M","0.64%"
"May 20, 2010","241.59","241.20","245.60","236.45","11.54M","0.24%"
"May 19, 2010","241.01","248.60","248.80","238.67","11.99M","-3.96%"
"May 18, 2010","250.94","252.44","253.94","249.26","16.60M","-0.59%"
"May 17, 2010","252.44","254.00","255.42","246.10","16.89M","-2.59%"
"May 14, 2010","259.15","261.60","262.56","256.00","19.00M","-1.20%"
"May 13, 2010","262.31","259.00","264.00","258.60","9.97M","1.68%"
"May 12, 2010","257.98","246.26","259.60","246.26","9.07M","2.43%"
"May 11, 2010","251.87","249.80","255.78","248.85","9.08M","0.79%"
"May 10, 2010","249.89","240.40","251.78","240.40","7.99M","4.89%"
"May 07, 2010","238.23","241.04","244.00","236.44","9.06M","-3.47%"
"May 06, 2010","246.79","244.80","250.56","244.00","4.21M","-0.59%"
"May 05, 2010","248.26","243.32","250.32","243.28","6.73M","-0.65%"
"May 04, 2010","249.89","252.42","258.18","248.85","8.34M","-0.88%"
"May 03, 2010","252.10","253.60","256.59","250.40","2.34M","-0.75%"
"Apr 30, 2010","254.00","257.20","257.20","252.62","5.56M","-0.32%"
"Apr 29, 2010","254.82","251.77","256.98","251.77","13.21M","1.59%"
"Apr 28, 2010","250.82","253.00","253.99","249.25","6.10M","-1.76%"
"Apr 27, 2010","255.31","254.60","257.00","251.44","7.13M","-0.24%"
"Apr 26, 2010","255.92","248.00","257.40","247.59","16.83M","3.54%"
"Apr 23, 2010","247.18","244.90","248.00","244.32","5.72M","0.89%"
"Apr 22, 2010","244.99","244.24","248.40","244.22","13.80M","-1.01%"
"Apr 21, 2010","247.48","239.00","250.40","239.00","26.05M","4.25%"
"Apr 20, 2010","237.40","232.00","239.00","232.00","9.00M","2.39%"
"Apr 19, 2010","231.86","228.00","232.80","225.64","6.13M","0.95%"
"Apr 16, 2010","229.68","229.23","231.94","226.28","5.62M","0.01%"
"Apr 15, 2010","229.66","233.00","234.59","228.40","7.15M","-0.80%"
"Apr 13, 2010","231.52","236.00","236.00","230.61","4.83M","-1.64%"
"Apr 12, 2010","235.38","236.26","237.68","233.03","7.17M","-0.55%"
"Apr 09, 2010","236.69","232.00","239.97","231.50","12.80M","2.31%"
"Apr 08, 2010","231.35","231.39","233.10","230.00","6.74M","-0.65%"
"Apr 07, 2010","232.86","236.40","238.63","229.66","18.45M","-0.87%"
"Apr 06, 2010","234.91","236.00","236.78","233.20","4.30M","-0.22%"
"Apr 05, 2010","235.42","235.44","236.60","231.60","4.20M","0.30%"
"Apr 01, 2010","234.71","233.60","236.84","233.60","3.82M","0.45%"
"Mar 31, 2010","233.65","234.40","236.94","232.38","3.54M","-0.41%"
"Mar 30, 2010","234.62","239.79","242.40","233.93","5.33M","-2.16%"
"Mar 29, 2010","239.79","239.40","243.00","237.00","6.03M","0.48%"
"Mar 26, 2010","238.65","231.02","239.59","230.30","9.03M","3.33%"
"Mar 25, 2010","230.96","230.42","233.04","229.36","7.57M","-0.62%"
"Mar 23, 2010","232.39","230.70","234.38","230.40","6.26M","1.35%"
"Mar 22, 2010","229.30","220.00","230.47","220.00","5.49M","-0.82%"
"Mar 19, 2010","231.20","234.40","234.40","230.31","6.13M","-0.67%"
"Mar 18, 2010","232.76","229.06","234.40","228.82","7.69M","1.27%"
"Mar 17, 2010","229.84","231.00","231.49","227.81","12.13M","0.38%"
"Mar 16, 2010","228.98","227.80","229.78","226.50","6.73M","0.19%"
"Mar 15, 2010","228.54","225.72","230.86","225.72","4.51M","-0.73%"
"Mar 12, 2010","230.21","230.20","232.32","228.31","9.74M","-0.03%"
"Mar 11, 2010","230.27","225.48","230.98","225.48","9.05M","1.75%"
"Mar 10, 2010","226.30","223.53","227.00","223.40","6.20M","1.24%"
"Mar 09, 2010","223.53","209.00","226.68","209.00","4.52M","-1.03%"
"Mar 08, 2010","225.86","228.85","228.85","221.42","15.90M","2.35%"
"Mar 05, 2010","220.67","225.00","227.90","220.08","13.16M","-1.63%"
"Mar 04, 2010","224.33","230.00","230.49","222.50","11.12M","-2.37%"
"Mar 03, 2010","229.78","232.80","234.99","228.16","11.37M","-0.53%"
"Mar 02, 2010","231.00","226.20","235.00","226.00","14.96M","2.71%"
"Feb 26, 2010","224.90","220.80","227.40","217.00","8.12M","2.58%"
"Feb 25, 2010","219.25","219.22","220.59","216.31","7.74M","0.22%"
"Feb 24, 2010","218.76","219.00","222.19","213.01","8.60M","-0.40%"
"Feb 23, 2010","219.63","220.00","225.96","217.74","11.25M","-0.84%"
"Feb 22, 2010","221.49","220.70","223.00","216.25","8.72M","1.18%"
"Feb 19, 2010","218.90","214.40","220.45","214.20","13.86M","-0.36%"
"Feb 18, 2010","219.70","213.40","223.26","213.11","24.86M","2.92%"
"Feb 17, 2010","213.46","206.80","214.77","206.40","11.37M","4.01%"
"Feb 16, 2010","205.23","206.40","208.34","203.67","6.64M","-0.26%"
"Feb 15, 2010","205.77","206.60","208.90","202.00","4.55M","-0.42%"
"Feb 11, 2010","206.64","206.00","208.98","205.68","4.08M","0.83%"
"Feb 10, 2010","204.93","208.80","209.10","204.02","8.29M","-1.34%"
"Feb 09, 2010","207.71","205.00","211.40","202.64","9.23M","1.55%"
"Feb 08, 2010","204.54","205.00","208.34","200.20","7.43M","-0.78%"
"Feb 06, 2010","206.15","206.00","207.53","205.22","696.86K","0.49%"
"Feb 05, 2010","205.14","206.74","207.60","199.02","12.21M","-2.17%"
"Feb 04, 2010","209.69","211.98","213.79","209.00","6.59M","-2.11%"
"Feb 03, 2010","214.20","209.11","215.40","204.81","13.26M","3.25%"
"Feb 02, 2010","207.46","213.04","216.40","206.05","8.88M","-2.38%"
"Feb 01, 2010","212.51","205.20","214.40","201.00","10.68M","3.59%"
"Jan 29, 2010","205.14","201.99","209.00","197.64","15.39M","0.68%"
"Jan 28, 2010","203.76","195.60","206.00","195.60","14.35M","4.73%"
"Jan 27, 2010","194.55","200.62","201.93","193.03","12.13M","-4.51%"
